upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P76007,42.06,86.25,69.87,29.54,37.43,34.41,67.34,92.39,35.58,31.08,49.73,87.41,155.19,49.06,171.50,79.77,26.32,24.17,76.04,86.46,37.60,77.99
P0ACX9,46.01,85.57,21.68,97.73,94.65,78.69,84.55,38.79,66.19,81.07,157.43,156.43,0.46,1.29,64.53,166.51,35.57,16.92,119.84,84.94,172.08,33.30
P64488,28.62,53.21,75.35,40.04,37.56,35.15,5.81,27.07,69.62,23.46,10.68,16.79,18.65,20.61,40.47,54.99,13.08,24.12,73.89,34.34,13.01,25.36
P23485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31680,162.35,133.28,104.33,139.88,8.28,158.20,25.11,89.14,28.67,21.38,42.79,22.62,66.67,30.19,81.37,84.39,15.08,22.12,34.57,18.20,37.87,76.16
P68688,18.56,63.15,18.14,15.32,11.62,38.86,53.17,18.22,11.61,12.12,6.51,5.39,57.11,6.29,21.14,57.65,48.84,15.92,2.34,0.54,10.07,16.51
P63284,13.38,6.66,3.28,8.24,9.73,9.03,5.06,17.02,10.24,5.75,6.56,7.30,3.70,3.37,10.89,22.87,10.27,19.01,9.69,11.13,10.64,1.75
P77526,43.15,37.48,43.52,7.61,26.05,9.88,8.20,32.37,10.24,24.14,47.13,17.59,12.14,32.63,59.04,70.89,29.03,25.82,31.28,17.58,18.01,71.49
P33014,14.44,10.68,10.79,55.64,26.31,52.51,37.22,13.66,7.27,15.84,9.51,12.37,77.31,80.01,33.65,53.38,64.28,40.45,14.55,32.28,43.35,45.08
P05704,1.82,34.45,164.91,51.39,16.60,81.30,44.77,41.31,30.38,7.66,24.77,40.98,69.68,82.85,136.50,49.96,90.61,56.41,110.14,58.08,62.52,27.34
P25798,72.98,22.35,22.42,20.42,18.39,51.32,75.76,20.40,32.83,16.06,38.64,38.31,66.88,16.17,112.36,141.40,153.71,85.36,22.85,106.26,113.58,37.19
P52613,17.16,16.91,45.19,22.37,33.62,27.70,65.70,33.33,40.51,20.19,76.48,81.80,136.28,169.39,136.14,74.43,169.15,156.14,94.23,106.93,43.34,26.52
P0A9H9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31697,8.61,149.22,132.70,16.46,39.41,136.14,166.59,155.13,127.31,163.24,84.49,83.32,164.67,93.13,92.18,164.90,76.84,168.56,62.45,166.71,54.19,166.26
P63883,113.44,170.89,42.33,40.71,145.15,169.77,170.33,158.12,152.36,146.35,170.82,151.56,151.15,0.40,1.34,0.87,171.50,1.10,19.86,2.21,127.38,167.73
P60955,38.46,32.97,33.95,47.90,74.69,108.94,57.39,59.03,12.78,9.27,19.05,10.17,102.45,112.85,87.12,147.76,24.40,168.45,9.27,112.40,82.33,40.76
P27300,12.64,0.96,3.88,9.97,30.68,24.08,11.80,30.42,12.28,28.45,15.35,17.38,41.53,65.50,23.57,34.26,21.28,34.02,4.92,4.33,8.85,20.37
P0C0T5,13.00,8.31,38.25,29.42,76.57,49.78,58.41,14.13,14.27,30.54,42.57,34.41,61.89,0.61,21.89,89.32,19.67,26.68,19.82,67.68,80.92,54.61
P41052,43.76,59.93,33.11,22.31,7.97,43.13,21.64,21.99,26.76,28.75,11.71,40.38,37.26,85.37,141.33,67.48,67.53,42.85,99.06,70.83,39.00,22.66
P0C066,38.38,68.96,85.65,24.23,17.84,88.46,50.24,107.97,64.11,72.48,74.76,71.85,20.88,36.02,30.25,59.56,7.58,7.41,7.85,9.37,3.46,3.73
P0AD65,15.11,12.88,65.50,35.88,12.14,25.46,37.65,69.67,8.17,24.76,33.94,26.85,65.64,22.78,120.09,67.80,14.05,39.46,19.71,51.77,7.59,21.05
P0AFI5,1.69,1.07,1.28,0.84,145.41,0.22,1.01,82.08,0.99,131.19,120.07,78.29,61.99,81.94,152.70,128.28,126.63,151.48,93.00,101.66,1.00,112.14
P27243,159.76,36.46,20.44,115.62,78.16,45.78,71.66,44.39,25.29,154.25,71.86,88.16,132.95,149.28,49.63,133.28,158.68,87.82,22.97,22.57,104.17,73.31
