upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0A6A8,13.78,4.80,5.42,7.43,19.02,18.25,3.05,9.72,4.99,12.59,7.51,4.82,18.21,8.13,14.02,9.13,12.11,4.90,4.91,4.72,6.71,0.80
P31551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AGL5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62623,11.89,6.27,2.40,5.35,5.25,3.01,9.07,15.79,1.32,10.71,8.79,13.05,47.00,52.52,3.99,21.19,6.81,42.76,7.16,21.42,4.24,8.28
P0A6H8,33.31,2.08,16.25,18.72,22.97,25.05,21.47,83.02,10.53,5.29,41.32,14.41,23.21,8.74,33.44,36.49,48.54,25.86,30.24,17.19,32.39,34.08
P0AF03,5.57,19.21,3.69,20.01,2.65,38.27,15.01,12.41,5.30,37.83,32.22,5.81,29.61,10.85,7.38,45.27,60.98,2.22,45.72,8.54,34.03,33.41
P40191,10.97,13.11,7.06,55.67,20.04,41.64,24.17,13.99,10.51,6.54,20.79,7.63,19.52,20.79,11.97,77.38,7.70,26.48,3.37,6.91,23.50,2.85
P26602,5.19,19.59,4.42,10.85,16.04,5.39,11.14,7.71,11.90,10.27,9.11,4.20,60.79,10.53,5.01,11.25,8.99,14.53,7.44,9.40,28.51,5.10
P12999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06709,19.61,8.32,59.30,15.13,21.87,4.44,6.96,11.23,20.15,7.85,34.81,10.58,23.49,20.64,27.06,43.86,27.68,18.17,3.80,33.24,22.47,25.61
P12282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0A8R0,3.75,8.47,1.81,5.33,6.84,1.70,10.90,16.66,1.78,4.77,3.76,1.75,7.99,9.20,7.22,16.76,11.65,8.02,11.27,18.74,0.46,7.55
P76422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AC28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25535,29.97,12.08,29.88,32.17,4.78,5.81,5.57,27.33,18.04,4.43,12.07,12.52,43.51,4.74,46.02,11.67,14.23,17.56,8.82,29.99,7.84,31.77
P69922,16.90,40.35,32.70,41.86,13.48,50.20,26.66,15.62,21.97,23.38,21.28,29.31,65.55,9.31,24.20,52.63,39.20,20.98,19.12,38.80,51.57,108.27
P0AER0,39.16,28.71,12.83,27.30,12.76,14.69,46.50,12.52,23.58,7.81,25.80,17.94,29.23,17.88,14.47,73.81,13.86,30.19,9.08,28.03,27.64,17.42
P0A761,24.19,11.00,9.99,18.42,5.22,4.25,13.02,20.67,19.45,3.29,12.63,6.79,22.11,26.80,31.84,28.97,34.62,12.56,6.15,5.51,28.42,27.14
P05706,7.33,21.27,18.22,34.29,10.41,43.35,31.48,28.31,36.58,30.47,23.21,40.95,118.04,78.87,69.68,122.44,18.72,64.12,12.09,37.67,51.73,25.14
P66817,14.56,8.95,14.64,3.04,7.70,20.00,13.33,12.43,18.42,15.04,17.23,12.94,22.81,7.92,16.01,1.33,4.26,15.18,15.35,5.87,4.52,11.88
P07762,11.27,1.53,4.22,14.63,4.53,14.37,6.09,5.77,6.54,5.67,11.41,11.12,30.75,12.19,31.29,1.36,6.81,15.28,10.09,5.94,8.24,6.74
P06720,63.48,70.76,41.55,16.53,4.28,15.21,8.10,4.84,12.75,9.28,14.58,8.42,36.82,20.65,41.35,160.48,4.80,62.22,14.58,25.74,23.28,11.17
D0EX67,11.81,10.97,19.60,10.61,8.59,9.79,5.80,6.71,0.97,3.40,7.55,19.46,9.54,14.59,15.80,4.07,14.68,2.14,9.49,7.96,7.19,7.85
P10907,75.02,15.92,5.68,22.35,26.15,32.03,19.77,30.40,11.56,9.07,15.38,3.45,32.88,3.92,34.23,17.92,32.28,19.45,7.17,45.57,34.47,2.60
P37388,29.53,11.91,79.50,39.62,39.43,49.41,49.90,38.73,92.73,28.55,53.97,53.38,44.54,51.65,91.72,25.83,25.99,93.21,68.23,19.69,41.98,20.35
P32141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AA82,11.62,14.16,53.01,12.03,11.84,13.37,8.63,34.52,5.59,2.32,13.71,5.38,11.53,67.25,10.25,35.69,43.61,24.87,13.90,20.82,6.04,12.71
P08179,11.21,12.81,13.91,4.63,4.02,5.73,1.05,13.59,8.08,6.66,9.31,4.97,17.10,7.13,6.26,28.96,6.31,25.78,12.39,7.18,11.36,1.97
P0A884,7.16,4.23,4.06,16.67,8.54,4.16,19.43,24.91,8.68,10.13,11.73,11.43,14.59,8.05,14.51,36.50,6.92,10.75,3.22,9.33,10.01,2.72
P37146,2.57,9.16,2.47,12.23,10.16,6.11,18.66,24.62,30.43,12.21,29.97,19.13,22.91,79.71,28.19,29.18,31.02,59.46,11.36,11.45,40.69,34.42
P06960,18.75,26.36,46.94,54.77,49.47,20.96,25.85,30.00,5.34,6.29,4.86,10.19,44.49,43.48,14.12,71.64,14.54,56.68,40.49,18.85,6.44,30.53
P0A6E1,14.63,10.63,8.10,12.66,4.86,15.75,12.07,14.24,12.84,2.06,14.98,26.85,5.73,22.34,10.44,18.42,17.09,6.48,10.60,26.49,13.22,4.27
P0A9I3,14.64,7.11,5.01,11.27,9.63,25.22,16.95,1.32,6.21,24.11,18.34,22.89,25.34,13.42,22.46,19.68,4.83,6.32,7.98,17.17,8.26,10.82
P13033,17.19,46.25,22.71,23.19,16.70,50.18,25.01,50.23,57.37,8.20,31.24,43.21,66.17,52.77,37.24,145.22,13.31,28.93,17.47,39.25,41.05,45.03
P0A7C6,6.76,29.36,14.49,11.34,5.58,5.34,4.06,3.63,8.01,9.12,5.99,11.02,46.46,33.67,15.87,27.27,14.87,21.37,3.50,3.93,15.25,12.05
P0AAD6,21.93,9.75,16.45,19.08,6.21,6.45,7.88,5.26,8.89,11.55,9.49,1.28,99.55,72.83,27.40,17.42,12.54,17.42,9.85,23.75,17.86,5.31
P0AGB0,7.29,3.81,14.89,17.12,27.11,5.41,4.88,11.40,14.77,12.01,22.83,27.38,12.07,7.33,10.13,37.28,13.45,11.50,4.77,25.89,24.74,9.35
P0AGE4,11.85,15.79,13.30,34.81,24.23,35.89,9.19,38.19,9.02,12.56,28.45,9.07,16.39,25.95,49.54,50.89,17.95,5.20,14.56,6.79,10.17,2.79
P07117,48.93,13.59,14.82,13.67,6.47,6.65,14.15,34.46,5.13,10.39,19.37,6.50,12.54,43.65,26.03,18.43,16.33,10.82,18.40,27.09,15.09,74.77
P0AAF6,14.60,3.25,2.95,21.22,14.05,9.94,10.34,40.33,22.49,9.00,10.49,4.54,32.43,7.49,15.48,46.59,4.94,3.45,13.13,14.11,1.23,3.34
P0A6K1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AEJ6,10.66,12.21,12.50,10.83,1.75,6.88,3.98,36.36,10.34,14.69,17.37,9.06,39.07,33.70,29.52,33.00,12.73,10.95,14.50,17.37,19.12,17.51
P0AEQ6,39.60,17.47,15.46,6.80,5.90,8.67,9.38,35.07,13.77,10.38,29.26,13.26,18.56,36.67,45.86,29.17,23.64,23.62,21.54,45.55,21.10,11.20
P63228,23.04,10.03,7.23,11.61,22.59,20.69,17.27,18.47,5.97,3.16,9.45,13.63,3.09,15.99,3.99,30.13,6.23,18.34,7.44,2.34,3.34,11.30
Q47690,9.53,7.16,26.76,6.15,5.91,9.85,4.76,13.72,5.34,9.12,7.50,5.49,19.07,8.37,14.91,13.13,8.10,0.95,10.32,16.51,3.98,7.67
P42588,37.22,37.90,100.55,12.55,11.85,42.66,11.83,16.15,38.66,67.42,66.19,40.97,83.70,40.19,19.14,35.27,13.80,15.28,13.70,8.61,17.65,6.00
P31134,2.81,5.42,32.42,14.41,25.38,5.49,10.32,28.71,0.92,14.87,16.43,14.74,59.97,39.71,26.51,50.38,10.53,21.23,19.06,16.80,31.91,8.11
P37774,29.76,6.08,5.00,6.61,0.38,10.87,16.85,2.79,15.63,9.56,10.30,11.16,20.02,17.83,14.62,11.59,7.06,4.29,13.53,12.46,6.28,3.11
P18196,12.30,12.53,20.30,15.83,2.60,12.99,9.11,10.62,4.68,17.49,11.87,13.82,1.83,11.34,11.06,9.64,2.79,6.95,13.04,13.06,6.26,17.01
P77173,14.23,11.18,6.80,16.21,10.80,18.56,11.80,17.46,12.98,10.50,12.92,14.51,3.70,14.32,35.13,7.17,13.76,8.77,12.15,12.65,10.72,4.70
P80668,75.10,27.14,25.92,12.50,4.04,7.52,13.17,33.32,16.55,9.45,12.91,14.46,22.33,33.16,57.32,36.64,12.72,44.34,19.65,22.48,33.85,17.99
P09152,79.95,66.52,16.04,22.05,19.61,56.83,18.83,59.64,64.08,32.30,59.57,38.36,43.46,54.61,100.37,65.36,35.03,28.30,37.20,43.17,57.78,24.80
P0A9T4,16.32,8.20,14.61,6.68,1.55,2.51,4.26,7.55,9.13,5.33,5.58,5.22,11.85,6.44,8.87,4.48,5.04,6.17,6.78,7.69,4.71,5.05
P10908,37.63,4.60,8.50,14.25,14.05,7.49,9.95,12.10,3.07,4.73,8.53,11.23,20.92,4.58,7.20,14.44,7.08,6.01,2.93,12.33,14.49,21.97
P0AB65,50.41,31.79,19.06,47.30,26.36,18.54,11.00,5.87,19.19,9.39,35.78,6.94,6.19,15.06,23.22,8.48,15.15,7.31,14.98,10.97,31.90,27.09
P14407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AAJ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P17117,17.22,5.82,7.14,15.47,7.51,14.80,4.53,48.87,16.74,16.67,4.54,9.15,113.78,16.94,97.44,50.02,10.89,9.51,29.72,19.27,20.19,15.61
P0ADV5,21.57,3.91,18.21,10.42,7.51,28.30,20.08,5.78,13.95,21.67,14.60,29.83,11.57,22.78,26.41,34.58,11.99,7.67,25.65,33.80,97.49,28.15
P0AE28,22.81,16.21,13.91,20.14,24.28,25.65,3.15,49.37,4.48,19.15,20.47,2.33,67.03,24.29,36.03,27.93,21.00,22.56,15.59,23.38,27.15,7.73
P0AET2,88.80,9.56,16.41,51.65,24.32,44.74,25.53,18.51,69.69,6.50,7.34,11.50,6.24,5.32,24.92,57.86,15.76,51.52,4.08,7.12,69.09,16.96
P0AAX6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25738,66.90,5.44,12.22,0.37,18.29,14.93,3.18,14.51,19.99,2.14,8.89,7.94,21.84,5.12,16.06,23.32,6.05,10.88,5.24,17.39,22.40,3.65
P0A8K5,5.13,5.34,9.06,17.70,18.49,19.09,7.41,7.43,5.33,5.17,16.67,5.17,9.49,22.11,14.93,6.13,11.97,4.22,5.80,22.92,5.22,15.23
P75694,64.00,5.21,12.71,10.31,2.92,5.80,9.96,17.33,26.98,5.87,5.91,7.96,10.27,14.54,15.67,23.68,5.13,38.08,7.31,13.87,29.21,8.87
P0AAN5,32.89,3.80,3.26,1.97,5.14,1.88,9.23,18.15,32.80,10.95,6.80,7.32,11.93,45.56,1.78,34.95,10.58,12.33,7.75,11.97,20.01,5.82
P0AB14,13.68,24.93,6.77,15.25,17.65,5.59,14.26,19.61,18.04,8.73,5.05,8.75,42.21,9.82,12.58,26.92,21.21,17.01,43.55,5.42,42.89,20.68
P0AB26,15.85,4.38,7.51,16.90,15.81,18.70,14.34,20.39,5.95,12.63,6.12,12.93,8.23,5.79,52.49,7.60,5.13,21.54,16.06,24.75,18.98,24.20
P0ACX3,6.86,3.66,1.46,5.89,3.47,8.50,6.92,14.83,2.55,8.42,18.56,2.02,23.43,14.51,9.43,1.34,8.02,12.48,6.20,4.89,5.20,5.37
P0AD21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P64540,12.57,10.10,15.20,21.28,38.99,9.47,11.19,41.77,28.39,14.55,15.30,18.58,11.83,10.15,24.11,8.68,13.83,4.06,12.19,14.15,24.03,53.41
P76549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P45552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31433,13.95,3.60,17.61,15.89,3.60,9.82,16.29,28.08,14.93,7.81,9.25,8.47,20.23,8.99,28.49,21.61,14.20,10.41,8.71,16.04,11.02,8.40
P0ACV8,21.51,25.53,1.82,5.98,20.89,55.03,23.68,21.86,7.89,7.78,12.89,13.49,82.47,22.02,20.16,10.08,13.83,18.00,12.13,7.67,6.17,8.91
P76073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25552,18.31,6.66,8.20,21.15,3.14,1.09,6.06,13.02,12.22,23.72,10.46,18.37,30.13,92.66,54.56,67.92,25.80,29.04,15.51,14.97,5.47,20.38
P77454,33.23,9.41,14.79,6.48,20.02,1.11,11.30,25.88,10.39,24.63,10.26,32.83,20.37,7.74,21.16,33.85,37.51,68.09,6.69,41.25,21.79,30.08
P50456,0.22,8.03,130.39,12.27,6.18,4.02,8.27,19.79,5.60,4.96,15.22,1.97,2.34,18.52,53.47,13.28,15.39,33.68,18.39,9.53,22.35,10.19
P24205,10.04,11.45,7.84,9.55,5.76,12.27,9.14,9.01,7.89,8.23,11.98,17.09,10.69,12.11,30.14,6.97,15.43,20.52,20.00,7.54,13.57,14.58
P33012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AB38,4.96,3.59,21.65,6.10,4.76,5.36,3.64,11.51,9.40,8.84,25.49,3.63,37.87,8.73,28.15,20.53,5.56,8.92,11.26,16.44,11.23,5.50
P21420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0A8I5,19.69,19.20,6.67,6.99,5.26,6.09,7.46,4.91,12.20,2.36,13.07,1.85,0.52,1.99,11.44,9.89,16.41,3.06,17.63,8.21,3.18,4.51
P24197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P00811,14.51,4.94,34.44,12.22,27.85,4.45,21.16,19.78,10.53,18.74,18.01,10.63,33.63,61.33,12.17,73.51,17.95,16.07,8.17,32.27,24.71,65.12
P05719,10.58,12.34,34.76,15.66,12.62,13.09,37.62,51.32,23.95,14.60,30.63,32.93,27.89,67.01,78.16,44.75,48.64,12.89,16.15,49.70,24.63,46.95
P0AD70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76008,16.95,1.61,16.80,8.91,17.08,12.88,11.81,17.69,6.27,11.31,13.33,10.53,8.01,10.08,7.78,13.99,14.02,7.48,11.29,15.84,6.79,4.03
P0AG99,11.05,2.88,3.03,5.43,9.13,3.25,2.23,10.98,5.36,3.67,4.82,2.12,8.42,5.06,10.15,8.88,4.95,6.91,8.23,3.81,2.65,3.74
P69423,21.42,10.54,23.78,6.37,27.92,6.93,13.91,11.38,3.86,11.13,9.88,5.22,23.53,35.53,38.85,16.89,20.24,3.00,17.58,13.36,18.22,7.18
P0AG96,21.24,8.26,9.87,10.80,6.91,17.63,12.24,24.62,9.14,3.59,1.49,17.29,8.58,32.43,40.72,12.79,19.28,12.92,10.57,17.61,5.21,20.40
P11071,48.59,50.56,16.05,70.97,26.52,7.15,51.14,47.65,3.99,31.38,12.32,9.89,81.93,45.15,5.96,7.90,70.04,30.09,19.91,63.33,22.14,14.33
P69913,14.57,11.68,10.36,11.11,24.41,15.49,5.24,11.75,13.65,11.30,7.05,4.15,15.27,3.86,47.66,4.99,26.46,17.61,8.92,1.07,18.69,11.25
P76339,64.93,26.85,136.66,32.63,27.10,27.35,70.92,73.39,22.49,40.04,28.44,33.61,49.05,38.81,23.36,39.21,13.22,35.52,43.07,27.42,75.55,27.37
P38684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AET5,82.54,38.90,158.92,74.30,62.86,81.36,167.75,85.31,95.53,65.26,40.02,31.15,163.14,38.36,96.13,45.39,34.89,68.89,19.20,50.46,108.67,71.66
P75779,16.41,27.97,17.36,8.05,43.37,29.08,46.23,33.35,61.97,58.41,40.45,26.99,4.23,8.93,37.62,44.78,14.34,15.05,21.57,32.71,44.84,21.51
P0AAZ7,23.29,3.41,3.90,14.00,10.84,2.92,13.50,14.27,9.26,1.46,12.87,9.42,26.38,8.73,21.96,16.19,18.66,2.34,7.43,8.86,14.25,1.91
P0AD33,9.94,5.31,12.84,9.78,7.08,6.87,4.63,31.08,12.31,15.33,20.85,4.69,23.98,11.54,21.74,25.68,13.64,7.68,16.09,36.41,4.87,14.41
P0A8C4,17.81,14.62,1.24,8.63,13.25,7.98,6.71,9.72,4.02,4.05,6.97,7.61,19.34,14.03,23.56,14.04,10.99,1.80,14.60,10.91,8.05,6.27
P38521,8.44,7.12,16.66,9.66,12.17,14.27,18.33,10.61,11.56,8.03,30.17,0.65,10.01,3.43,13.54,16.13,2.36,7.80,8.03,10.91,7.33,8.36
P0ADT2,17.31,13.08,7.00,11.94,18.28,18.23,13.79,13.10,10.69,17.40,6.69,12.95,35.44,19.06,19.97,10.40,13.38,16.58,20.75,14.10,37.34,35.07
P64624,10.97,5.45,16.55,8.73,22.17,2.57,11.06,19.68,2.99,10.55,7.77,7.75,21.62,21.95,17.73,28.58,7.20,14.77,11.44,2.54,18.14,13.12
P09996,31.99,20.25,9.89,9.28,5.92,13.12,4.06,2.37,24.33,13.78,20.91,6.70,39.71,12.09,23.35,27.66,34.76,14.71,12.30,15.84,8.68,12.63
P0ADP7,51.80,18.67,35.00,37.03,34.67,8.33,4.58,12.92,10.73,4.72,8.87,19.22,30.17,37.28,19.53,80.08,29.61,34.46,8.38,21.32,12.63,11.30
P0AAP3,11.93,4.05,12.79,5.14,8.79,7.11,12.32,17.25,3.49,12.38,13.08,5.13,9.24,4.86,13.29,13.41,12.00,3.10,5.92,17.06,9.99,8.77
P0C0L9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P22186,8.02,7.92,9.57,12.09,7.68,11.84,2.81,27.41,20.14,3.45,50.79,19.52,54.57,17.90,24.21,16.00,13.07,27.43,7.50,9.99,14.82,6.88
P0A8I8,9.60,28.63,9.09,34.78,37.82,8.13,11.47,3.01,15.00,14.45,26.28,15.66,48.86,10.69,3.74,20.98,17.90,25.57,28.86,5.87,11.12,1.47
P0AGL7,14.55,11.38,5.85,10.35,2.55,18.29,4.98,16.25,12.85,6.05,14.93,22.42,27.75,8.77,8.47,43.52,15.41,1.38,29.32,6.37,16.22,18.84
P32162,23.58,9.36,4.90,17.09,5.35,6.43,1.70,2.83,1.98,8.20,9.19,10.03,12.42,15.57,13.62,66.47,8.69,8.98,2.23,2.65,9.72,4.74
P67338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52119,4.63,7.66,13.39,9.09,11.58,30.21,20.13,15.62,11.41,11.37,26.63,3.99,23.44,15.21,26.17,6.54,22.79,7.05,20.28,10.70,10.16,4.27
P39451,12.78,13.37,23.16,7.28,29.41,27.83,7.39,16.86,19.85,6.30,26.47,15.80,69.78,38.71,42.82,77.31,13.41,7.68,16.80,13.35,28.29,28.68
P0ABN5,27.42,3.64,11.46,15.26,4.93,7.96,9.31,33.74,7.58,6.60,7.61,4.53,55.93,12.80,16.30,12.63,6.85,11.43,18.04,18.23,11.10,8.35
P06616,14.80,12.39,17.46,13.42,8.10,13.55,12.97,12.02,3.55,11.88,5.21,5.40,22.56,3.62,40.86,4.10,11.73,4.10,11.18,11.05,8.37,15.24
P39364,81.66,68.55,61.74,107.64,129.61,50.03,156.69,32.45,136.97,22.93,94.80,25.78,66.11,27.44,99.73,73.43,169.86,61.44,41.41,66.27,29.31,69.25
P75792,22.74,13.93,20.17,10.79,14.71,34.29,5.74,2.19,16.85,25.84,14.72,2.12,15.82,23.93,5.07,5.58,2.28,81.02,4.23,18.83,13.27,2.97
P33018,22.26,21.79,9.04,12.88,3.81,36.94,10.21,8.13,4.71,5.00,10.93,5.12,35.76,81.52,10.66,30.02,2.38,48.22,5.70,3.35,2.21,2.78
P77808,12.12,10.06,11.34,14.06,13.30,13.62,12.29,8.28,3.59,14.39,21.36,2.41,33.57,27.70,6.79,19.31,7.84,14.83,9.61,21.97,16.13,14.28
P0ADM4,22.99,11.50,7.51,7.79,18.94,17.36,7.87,5.93,22.70,1.32,29.99,12.50,15.37,47.29,10.74,14.26,2.99,10.59,6.19,19.95,12.02,8.27
P0AEW4,4.35,12.47,15.65,8.40,13.68,10.92,4.96,5.44,4.38,17.15,8.03,7.56,9.44,11.72,18.46,0.68,9.36,13.70,3.91,6.33,7.14,4.46
P51025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P75796,76.81,2.04,11.01,42.07,16.38,16.89,17.99,49.69,9.98,9.39,13.12,1.71,86.54,20.56,51.12,23.97,9.23,30.74,16.81,13.38,21.03,10.49
P0ABZ4,16.10,13.26,11.03,19.15,10.39,19.57,20.26,9.46,1.76,5.00,12.57,6.78,15.44,14.81,11.29,30.98,15.96,18.32,2.28,12.23,11.10,19.56
P0AF98,33.40,2.99,22.32,22.47,7.26,19.39,1.40,19.63,12.75,10.05,6.99,14.00,73.56,20.39,16.61,35.81,5.16,5.57,16.45,6.29,14.22,15.98
P0ADC6,39.30,22.62,31.31,18.66,16.25,10.16,7.25,51.34,14.42,14.51,12.86,29.58,30.37,34.40,43.27,25.84,9.88,36.55,20.38,6.66,15.28,19.21
P64602,2.30,4.02,5.59,5.78,6.81,11.02,7.32,7.25,15.64,2.47,13.39,6.28,19.52,16.28,9.87,14.14,20.31,6.70,5.14,7.93,6.00,11.05
P77181,50.84,14.43,11.43,17.49,16.33,18.92,17.08,32.29,44.03,6.31,24.68,1.53,1.57,14.54,36.13,26.11,5.85,7.23,15.19,10.54,26.37,19.63
P16692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AAC4,9.07,2.60,9.99,9.26,9.58,7.30,4.39,6.77,17.51,15.33,9.26,8.61,43.53,20.78,29.24,8.86,15.64,9.40,9.40,19.88,9.42,6.88
P43340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76389,14.15,16.75,13.53,8.65,9.82,6.93,12.21,5.57,9.52,14.06,14.81,18.28,50.39,76.27,67.10,35.15,44.29,17.61,7.01,27.17,12.60,57.41
P31466,47.77,9.63,4.41,21.67,11.77,8.87,15.04,43.20,4.03,8.03,16.87,3.18,7.00,35.84,33.23,76.19,80.75,66.73,24.68,47.48,21.56,10.04
P45524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P64636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P26648,29.42,58.02,11.70,39.44,8.82,60.32,3.51,11.73,15.39,21.99,13.75,18.66,7.18,3.31,26.56,28.05,11.11,27.49,13.98,22.38,40.81,12.65
P63386,9.41,2.95,31.11,3.04,21.42,35.85,9.73,4.92,22.15,25.55,6.32,9.46,7.51,15.28,33.13,17.53,29.61,12.42,28.50,68.44,24.68,7.00
P33025,15.70,60.93,8.22,55.89,6.38,14.56,11.88,17.60,12.57,5.14,2.15,16.78,31.21,98.14,79.88,139.39,5.88,25.17,14.89,11.37,4.88,39.96
P77504,15.39,27.92,40.77,32.11,13.95,50.36,23.74,35.19,7.68,21.43,29.73,18.33,57.94,2.85,37.88,45.21,12.23,6.23,37.89,16.01,49.09,29.69
P33941,34.16,85.27,50.00,37.64,20.83,47.30,2.04,39.04,35.61,14.76,48.99,6.36,69.36,39.54,34.76,22.83,21.26,33.54,28.94,40.10,48.07,18.10
P13036,16.63,92.44,94.71,48.94,47.72,37.07,55.84,21.15,45.69,66.67,45.87,85.50,55.13,45.56,35.54,73.95,41.82,6.69,6.09,77.31,38.26,112.35
P23857,10.53,14.46,6.30,12.63,6.71,43.00,3.55,54.68,14.15,6.52,16.32,13.84,12.17,17.32,97.79,61.56,13.84,22.14,10.41,19.38,41.83,11.34
P0AEL6,48.07,12.29,13.96,30.34,4.50,16.89,3.11,5.60,9.53,13.68,21.70,2.53,12.63,4.75,24.03,5.78,1.84,4.48,19.21,30.29,12.88,7.12
P07822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31069,11.46,9.75,22.62,7.41,13.62,21.30,8.49,9.22,4.04,17.69,10.46,9.87,17.58,16.77,6.41,14.82,5.08,12.95,13.93,6.20,17.03,4.44
P03819,40.17,36.97,65.44,23.85,25.29,9.57,33.43,43.71,8.65,9.54,2.89,24.17,51.55,40.75,73.25,102.22,32.88,39.59,22.28,38.25,64.64,44.85
Q47537,80.39,40.17,14.86,4.90,32.00,6.17,12.61,37.93,26.80,15.66,20.84,13.68,51.90,108.42,17.19,18.08,25.79,32.50,20.71,25.47,13.28,24.05
P24178,14.15,57.89,31.45,84.62,61.37,138.00,43.32,119.48,64.50,46.95,77.10,85.52,96.48,63.81,52.89,74.94,86.86,133.13,95.00,153.15,36.93,37.14
